Country,Year,Area,Location,Activity,Sex,Age,Injury,Fatal_Y_N,Species,Month
VANUATU,2004,Malampa Province,Malakula (Malakula Island),Snorkeling,M,30s,Thigh bitten,N,other,11
NEW CALEDONIA,2004,North Province,Koumac,Diving,UNKNOWN,0,Forearm bitten,N,3 m shark,11
CUBA,2004,Camaguey Province,Santa Lucia,Diving,M,40,Left forearm bitten,N,2.5 m [8.25'] bull shark,10
SOUTH AFRICA,2004,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,2 m [6.75'] white shark,10
AUSTRALIA,2004,New South Wales,Stockton Beach,Surfing,M,59,Right foot lacerated,N,"Bronze whaler shark, 2.4 m [8'] ",10
USA,2004,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,0,Lower leg bitten,N,1.8 m to 2.4 m [6' to 8'] white shark,10
USA,2004,Hawaii,Moloka'i,Spearfishing,M,34,Left shoulder bitten,N,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",10
SOUTH AFRICA,2004,Eastern Cape Province,Jeffrey’s Bay,Surfing,M,34,Puncture wounds on right foot,N,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",10
REUNION,2004,Conservatória District,"P' tit Paris, Saint-Pierre",Body boarding,M,15,"Leg severely bitten, surgically amputated",N,Thought to involve a 2.5 m bull or tiger shark,10
USA,2004,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,other,10
USA,2004,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,other,10
USA,2004,Oregon,Gold  Beach,Surfing,M,26,Leg bitten,N,White shark,9
BRAZIL,2004,Pernambuco,"Pina, Recife",Swimming,UNKNOWN,0,FATAL,Y,other,9
USA,2004,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,Left knee & leg bitten,N,2.4 m [8'] shark,9
USA,2004,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,other,8
BRAZIL,2004,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,24,Calf bitten & both hands injured,N,"Tiger shark, 1.5 m ",8
USA,2004,California,"204s, San Clemente, Orange County",Surfing,M,0,Foot bitten,N,0.9 m to 1.2 m [3' to 4'] white shark,8
USA,2004,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,4.9 m to 5.5 m [16' to 18'] white shark,8
USA,2004,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,1.2 m [4'] shark,8
AUSTRALIA,2004,New South Wales,Byron Bay,Spearfishing,M,30,Minor puncture wounds to leg,N,other,8
USA,2004,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,other,7
RUSSIA,2004,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving & fishing with net,M,0,Thigh & calf bitten,N,White shark,7
USA,2004,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Right calf bitten,N,other,7
USA,2004,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,1.8 m [6'] shark,7
USA,2004,Texas,Galveston Island,Swimming,F,19,Right foot bitten,N,1.2 m to 1.5 m [4' to 5'] shark,7
USA,2004,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,Bull shark,7
JAPAN,2004,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",7
AUSTRALIA,2004,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,"2 sharks, 4.5 m & 3 m ",7
EGYPT,2004,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Teen,Hand severed,N,"""black tipped"" shark",7
USA,2004,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,7,Right foot lacerated,N,4' to 5' shark,7
USA,2004,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,"9'2"" white shark",6
USA,2004,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,0,Foot bitten,N,other,6
AUSTRALIA,2004,Western Australia,Bunbury,Body boarding,M,17,Ankle & foot lacerated,N,"Bronze whaler shark, 2.5 m [8.25'] ",6
USA,2004,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,Right wrist  & left arm lacerated,N,1.2 m [4'] shark,6
SOUTH AFRICA,2004,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,White shark,6
USA,2004,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,Puncture wounds on shin,N,0.9 m to 1.5 m [3' to 5'] shark,5
BRAZIL,2004,Pernambuco,Piedade Beach,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,Bull shark,5
USA,2004,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,2.4 m to 3.7 m [8' to 12'] shark,5
USA,2004,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,other,5
USA,2004,Florida,"Jacksonville Beach, Duval County",other,F,9,Foot bitten,N,other,5
BRAZIL,2004,Pernambuco,"Piedade Beach, Recife",Wading,F,24,Hips & thighs bitten,N,other,5
USA,2004,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,28,"No injury, board bitten",N,"Mako shark, 1.8 m [6']",5
BRAZIL,2004,Pernambuco,Piedade ,Swimming,M,22,FATAL,Y,other,5
AUSTRALIA,2004,New South Wales,"Latitude Reef, near Forster",Diving,M,0,Puncture wounds on wrist,N,"Wobbegong shark, 1.2 m [4'] k",4
TONGA,2004,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,0,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,small sharks,4
USA,2004,Hawaii,"Kahana Beach, Maui",Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,Tiger shark,4
SOUTH AFRICA,2004,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,5 m [16.5'] white shark,4
USA,2004,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",other,M,26,Right foot bitten,N,other,3
USA,2004,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,1.2 m [4'] bull shark,3
BRAZIL,2004,Pernambuco,Piedade Beach,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,bull shark,3
USA,2004,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,0,Heel bitten,N,bull shark,3
REUNION,2004,Saint-Benoît,Spot de la gare,Surfing,M,20,Right thigh bitten,N,2.5 m shark,3
USA,2004,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,other,3
USA,2004,Hawaii,Punaluu,Snorkeling,F,0,Lacerations to left foot,N,1.8 m [6'] shark,3
NEW ZEALAND,2004,North Island,Te Arai Point,Spearfishing,M,0,No injury,N,Bronze whaler shark,3
USA,2004,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",3
AUSTRALIA,2004,Western Australia,5 nm off Cervantes,Spearfishing,M,47,Shin & calf bitten,N,"Bronze whaler shark, 1.5 m [5'] ",3
BRAZIL,2004,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,other,2
NEW ZEALAND,2004,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Thigh lacerated,N,2 m [6.75'] sevengill  shark,2
AUSTRALIA,2004,New South Wales,"Taree, Old Bar Beach",Swimming,M,0,Three toes lacerated,N,other,2
EGYPT,2004,other,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,0,FATAL,Y,other,2
AUSTRALIA,2004,New South Wales,Caves Beach,Snorkeling,M,22,Leg bitten,N,"60 cm [23.6""] blind or brown shark",2
AUSTRALIA,2004,Western Australia,Binningup,Scuba diving,M,46,Left leg bitten,N,4 m to 5 m [13' to 16.5'] white shark,1
URUGUAY,2004,Rocha,Ensenada de la Coronilla,Surfing,M,21,Puncture wounds to dorsum of right foot,N,Possibily a  1.5 to 2 m sandtiger shark,1
VENEZUELA,2004,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,0,Lower back & hand bitten,N,"Bull shark, 1.65 m [5'5""] was speared & killed",1
VENEZUELA,2004,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,40,Right leg bitten,N,"Bull shark, 132-kg [291-lb] ",1
AUSTRALIA,2004,New South Wales,Bushrangers Pass at Bass Point,Diving,M,0,"No injury, swim fin ripped off",N,"Raggedtooth shark, 3.5 m [11.5'] ",1
SOUTH AFRICA,2004,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,Foot lacerated,N,Raggedtooth shark,1
AUSTRALIA,2004,Western Australia,Redgate Beach,Surfing,M,0,No inury,N,other,0
USA,2003,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,other,12
NEW ZEALAND,2003,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,45,FATAL,Y,other,12
AUSTRALIA,2003,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,other,12
AUSTRALIA,2003,Western Australia,Perth? (Margaret River District),Swimming,M,0,"After biting Halverson, it bit Scott's thigh",N,"Wobbegong shark, 1.2 m [4'] ",11
AUSTRALIA,2003,Western Australia,Perth? (Margaret River District),Swimming,M,0,Hand & foot bitten,N,"Wobbegong shark, 1.2 m [4'] ",11
SOUTH AFRICA,2003,KwaZulu-Natal,Sodwana,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,"Tiger shark, 4 m [13']  ?",11
USA,2003,Florida,"Daytona Beach, Volusia County",Surfing,F,35,Severe abrasion to left lateral calf,N,4' shark,11
INDIA,2003,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,35,Left index finger lacerated,N,Tiger shark?,11
USA,2003,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to hand,N,other,11
EGYPT,2003,Sinai Peninsula,"Sha’ab Mahmud, Ras Mohamed Park",Snorkeling,M,0,Hand/elbow injured,N,2.5 oceanic whitetip shark,11
SOUTH AFRICA,2003,KwaZulu-Natal,Karridene,Surf skiing,UNKNOWN,0,"No injury to occupants, hull of ski bitten",N,White shark,11
AUSTRALIA,2003,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,0,Minor lacerations to leg & foot,N,other,11
USA,2003,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,Left foot (sole) bitten,N,1.2 m to 1.5 m [4' to 5'] shark,10
AUSTRALIA,2003,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,Left ankle & foot lacerated,N,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",10
USA,2003,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,Left arm severed below shoulder,N,"Tiger shark, 14' ",10
USA,2003,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,Laceration on right ankle & heel,N,other,10
USA,2003,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,19,Foot bitten,N,1.2 m [4'] shark,10
USA,2003,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,0,Minor puncture wounds in hand,N,other,10
USA,2003,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,other,10
USA,2003,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,50,Left foot bitten,N,other,10
USA,2003,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,"1.2 m [4'] ""grey-colored shark""",10
FIJI,2003,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,40,FATAL abdomen bitten,Y,other,9
USA,2003,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,Arm lacerated,N,other,9
USA,2003,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,Left foot bitten,N,other,9
USA,2003,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,Left heel lacerated,N,other,9
USA,2003,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,3 puncture wounds on left foot,N,other,9
USA,2003,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30,Left foot: lacerations on heel and sole,N,3' shark,9
USA,2003,Florida,"Daytona Beach, Volusia County ",Body boarding,M,18,Left calf avulsion,N,6' shark,9
USA,2003,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,Ankle lacerated,N,7' shark,9
SOUTH AFRICA,2003,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,White shark,9
USA,2003,Florida,"Boca Grande, Lee County",Wade-fishing,M,0,2 lacerations on each side of Achilles tendon,N,other,9
USA,2003,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,4.5 m to 5.5 m [15' to 18'] white shark,8
SOUTH AFRICA,2003,Eastern Cape Province,Jeffrey’s Bay,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,3.5 m [11.5'] white shark,8
AUSTRALIA,2003,Northern Territory,Nhulunbuy,Surf skiing,M,37,"No injury, flung into water when shark bit rudder of ski",N,other,7
USA,2003,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,Laceration to little finger of  right hand,N,other,7
USA,2003,Florida,"Daytona Beach, Volusia County",Wading,F,15,Heel & sole of left foot,N,other,7
BAHAMAS,2003,Abaco Islands,Bakers Bay,Spearfishing,M,58,Right thigh bitten,N,Unidentified species,7
USA,2003,Florida,"Canova Beach, Brevard County",Surfing,M,21,Left foot bitten,N,1.5 m to 1.8 m [5' to 6'] shark,7
BAHAMAS,2003,Abaco Islands,10 miles west of Walker’s Cay,Spearfishing,M,39,Left calf bitten,N,2.1 m  [7'] bull shark,7
USA,2003,Florida,"Fort Lauderdale, Broward County",Spearfishing,M,0,Laceration to toe,N,8' great hammerhead shark,7
FRENCH POLYNESIA,2003,Society Islands,Moorea,Spearfishing,M,0,Leg bitten,N,other,7
NEW ZEALAND,2003,Cook Islands,Beveridge Reef,Snorkeling,M,0,Chest & buttocks  bitten,N,Grey reef shark,7
USA,2003,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot & toes lacerated,N,Unidentified species,6
USA,2003,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,Ankle lacerated,N,106 cm [3.5']  shark,6
BRAZIL,2003,Pernambuco,"Piedade, Recife",other,M,0,FATAL,Y,other,6
USA,2003,Florida,"Cocoa Beach, Brevard County",Standing,F,12,2 lacerations to the thigh,N,“small brown shark”,6
USA,2003,Hawaii,"Makua Beach, Oahu",Swimming with pod of dolphins,M,60,Right foot bitten,N,3.7 m to 4.3 m [12' to 14'] shark,6
USA,2003,Johnston Atoll,other,Swimming,M,51,Left leg bitten,N,Unidentified species,6
USA,2003,North Carolina,"Masonboro Island, New Hanover County",Surfing ,M,33,Hand bitten ,N,"""sand shark""",6
USA,2003,Florida,"Ponce Inlet, Volusia County",Surfing,UNKNOWN,15,6 puncture wounds to left ankle,N,other,6
USA,2003,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,M,18,Left foot lacerated,N,other,5
USA,2003,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,22,Left foot bitten,N,3' to 5' shark,5
USA,2003,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,M,20,Right calf & heel bitten,N,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,5
USA,2003,Florida,"Daytona Beach Shores, Volusia County",Walking,F,9,Laceration to right lower leg,N,other,5
PHILIPPINES,2003,Baatan,Limay,other,UNKNOWN,0,Arm severed,N,White shark,5
BRAZIL,2003,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming ,M,16,Bitten on finger,N,other,4
BRAZIL,2003,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,Bull shark,4
BRAZIL,2003,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,7,Right hand lacerated,N,other,4
USA,2003,Florida,"Melbourne Beach, Brevard County ",Surfing,M,36,Right leg bitten,N,Unidentified species,4
USA,2003,Florida,"Shepard Park, Cocoa Beach, Brevard County ",Surfing,M,17,Survived,N,Unidentified species,4
USA,2003,Florida,"Playalinda Beach, Brevard County",Surfing,M,30,Left foot bitten,N,Unidentified species,4
USA,2003,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,M,23,Small lacerations to foot,N,0.9 m to 1.2 m [3' to 4'] shark,4
USA,2003,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left ankle bitten or right foot,N,Unidentified species,4
USA,2003,Florida,"New Smyrna Beach, Volusia County  ",Jumping,M,11,Left foot bitten,N,A “small” shark,4
USA,2003,Florida,"North Beach, Patrick AFB, Brevard County",Surfing,M,12,2 lacerations on left thigh,N,Unidentified species,4
USA,2003,Florida,"Cocoa Beach, Brevard County",Swimming (using a float),M,20,Left calf lacerated,N,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",4
VENEZUELA,2003,Nueva Esparta,"El Yaqu, Isla de Margarita",Surfing,M,28,"Right foot bitten, left leg severed",N,"Mako shark, 3 m [10']",4
USA,2003,Florida,"Melbourne Beach, Brevard County",Surfing,M,0,Arm lacerated,N,other,4
USA,2003,Florida,"New Smyrna Beach, Volusia County",Surfing,M,50,Left hand and wrist bitten,N,4' to 5' shark,4
NEW ZEALAND,2003,Southland,East side of Bench Island in the Foveaux Strait,Scuba diving,M,44,Arm lacerated (shark made 3 strikes),N,2.5 m [8.25'] white shark,2
AUSTRALIA,2003,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,M,37,Ankle lacerated,N,"""a small shark""",2
USA,2003,Florida,"Jupiter, Palm Beach County",Swimming,M,54,Left hand bitten,N,Species unidentified,2
AUSTRALIA,2003,New South Wales,"Coogee Bay, near Sydney",Swimming,M,24,"Puncture wounds on heel, legs and buttocks",N,Thought to involve a 2 m [6.75'] grey nurse shark,2
AUSTRALIA,2003,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,84,FATAL,Y,Thought to involve a >2 m [6.75'] bull shark,2
COSTA RICA,2003,North Pacific coast,Playa Tamarindo ,Surfing,M,0,Lower right leg lacerated,N,"Bull shark, 7'",1
AUSTRALIA,2003,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,Surfing,F,0,"No injury, but her surfboard was bitten",N,"Bronze whaler shark, 2.5 m [8.25'] ",1
AUSTRALIA,2002,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,18,Left arm lacerated,N,Reported to involve a hammerhead shark,12
SOUTH AFRICA,2002,Western Cape Province,Scarborough,Snorkeling,M,25,Forearms lacerated,N,"White shark, 4 m white shark",12
AUSTRALIA,2002,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,M,26,Groin bitten,N,"Wobbegong shark, 1m",12
AUSTRALIA,2002,Queensland,Miami Lake,Swimming,M,23,FATAL,Y,Bull shark,12
BRAZIL,2002,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,19,FATAL,Y,other,12
MICRONESIA,2002,Caroline Islands,"Pision Reef, Truk",Scuba diving,M,0,Minor injury to right calf,N,Blacktip shark,11
USA,2002,California,"Salmon Creek, Sonoma County",Body boarding,M,48,Both legs severely lacerated,N,3 m to 4.5 m [10' to 15'] white shark,11
USA,2002,Hawaii,Ka'anapali,Swimming,F,34,Right shoulder forarm & wrist bitten,N,2.4 m to 3 m [8' to 10'] grey colored shark,11
TURKS & CAICOS,2002,Caicos Bank,French Cay,Snorkeling,F,41,"Right upper am, shoulder & back severely  bitten",N,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,11
USA,2002,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,1.5-inch laceration,N,6' shark,11
USA,2002,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,16,Puncture wounds on right foot,N,3' to 4' shark,11
FRENCH POLYNESIA,2002,Society Islands,Tetiaroa,"Fishing, standing in 2' of water",M,52,Shin bruised,N,other,11
USA,2002,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,60,Left foot bitten ,N,A “small” shark,10
BRAZIL,2002,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City, Recife",Swimming,M,36,"FATAL, body not recovered",Y,Possibly a bull shark or tiger shark,10
USA,2002,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,21,Left foot bitten,N,other,10
USA,2002,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Abrasions on right hand & deep laceration on middle finger,N,Blacktip or spinner shark,10
USA,2002,Florida,"New Smyrna Beach, Volusia County",Surfing,M,35,Heel & back of right knee lacerated,N,3.5' to 4.5' shark,10
USA,2002,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left hand lacerated and abraded,N,3.5' to 4' shark,10
USA,2002,Florida,"Ormond Beach, Volusia County",Surfing,M,47,Right hand severely lacerated,N,4' to 5' shark,9
USA,2002,Florida,"Sebastian Inlet, Brevard County",Surfing,M,32,Left hand bitten,N,other,9
USA,2002,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,M,55,"No injury, surfboard bitten ",N,1.2 m [4'] blacktip shark,9
USA,2002,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,24, Ankle lacerated,N,2.4 m [8'] shark,9
USA,2002,California,"Moonstone Beach, Humboldt County",Surfing,M,35,No injury,N,3 m to 3.7 m [10' to 12'] shark,9
BRAZIL,2002,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City",Swimming,M,19,"Left thigh bitten, leg surgically amputated",N,Bull or tiger shark,9
USA,2002,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,UNKNOWN,0,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,other,9
SOUTH AFRICA,2002,Western Cape Province,"Glencairn, False Bay",Surf skiing,M,47,No injury,N,White shark,9
USA,2002,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,M,20,Bitten above & below right knee,N,4' to 6' shark,9
USA,2002,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,16,Left foot lacerated ,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",8
USA,2002,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,29,Both arms & leg bitten,N,other,8
USA,2002,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,Big toe bitten,N,0.9 m  to 1.2 m [3' to 4'] shark,8
USA,2002,Florida,"Vero Beach, Indian River County",Surfing,M,15,Lacerations on heel & dorsum of right foot,N,"Nurse shark, 1.5 m [5'] ",8
USA,2002,Florida,"Ponce De Leon Inlet, Volusia County",Standing,M,15,Ankle & leg lacerated,N,other,8
USA,2002,North Carolina,"Topsail Beach, Pender County",Standing,M,14,Leg lacerated,N,1.2 m to 1.5 m [4' to 5'] shark,8
USA,2002,South Carolina,"Myrtle Beach, Horry County",Surfing,M,13,Heel bitten,N,1.2 m [4'] blacktip or sandbar shark,7
USA,2002,North Carolina,"Emerald Isle, Carteret County",Swimming,F,15,Calf bitten,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",7
BRAZIL,2002,Pernambuco,"Piedade Beach, Recife",Surfing,M,22,Right hand severed,N,Bull or tiger shark,7
USA,2002,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,9,"Calf, foot & hand bitten",N,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",7
AUSTRALIA,2002,Queensland,Sunshine Beach,Surfing,M,30,minor injury to foot,N,other,6
USA,2002,Florida,"New Smyrna Beach, Volusia County",Swimming,F,11,Small lacerations on right lower leg,N,other,6
PAPUA NEW GUINEA,2002,Louisiade Archipelago,"Brooker Island , Calvados Chain",other,UNKNOWN,0,"Arm severely lacerated, surgically amputated",N,other,6
PAPUA NEW GUINEA,2002,Louisiade Archipelago,"Gawa Reefs, Sudest Island",Attempting to retreive a dinghy,UNKNOWN,0,FATAL,Y,other,6
USA,2002,Hawaii,"Anini Beach, Kaua'i",Sitting on surfboard,UNKNOWN,0,"No injury, shark bit side of surfboard",N,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  ",6
USA,2002,Florida,"St Augustine Beach, St Johns County",Surfing,M,28,Right hand lacerated,N,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,6
USA,2002,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,50,6-inch gash on right foot,N,  ,6
USA,2002,Florida,"Jensen Beach, Martin County ",Swimming,M,10,Right calf lacerated,N,other,6
SOUTH AFRICA,2002,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling (filming the sardine run),M,50,Upper arm bitten,N,1.5 to 2.5 m [5' to 8.25'] copper shark,6
USA,2002,California,"Stinson Beach, Marin County",Surfing,M,24,Lacerated leg & back,N,3.7 m to 4.3 m [12' to 14'] white shark,5
USA,2002,Florida,"St. George Island (near Apachicola), Franklin County",Floating on a raft,M,16,Lacerated foot,N,1 m  shark,5
USA,2002,Florida,"Atlantic Avenue, Palm Beach County",Playing in the surf with his 2 dogs,M,35,"2-inch wound on dorsum of right foot, 1-inch wound on sole",N,other,5
COSTA RICA,2002,Guanacaste,Playa Grande,Surfing,M,0,Toothmarks in board & his swim trunks,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",5
PAPUA NEW GUINEA,2002,Milne Bay Province,Tewatewa Island,Collecting beche-de-mer,M,14,Wrist lacerated,N,other,5
USA,2002,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,Laceration to arm.,N,2.1 m to 2.4 m [7' to 8'] shark,5
BRAZIL,2002,Pernambuco,"Pina, Recife",Surfing,M,40,Leg injured,N,other,5
AUSTRALIA,2002,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Scallop diving (using surface-supplied air & a POD) ,M,23,"FATAL, torso & leg bitten  ",Y,"White shark, 6m [20']",4
USA,2002,Florida,"St. Augustine Beach, St. Johns County","Surfing, but standing in water alongside board",M,34,Left foot bitten,N,1.2 m [4'] shark,4
USA,2002,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28,Left foot bitten,N,other,4
AUSTRALIA,2002,New South Wales,"Bar Beach, Newcastle",Swimming,M,45,Foot bitten,N,other,4
BAHAMAS,2002,Abaco Islands,Walkers Cay,Standing,M,43,Calf bitten,N,"Bull shark, 400-lb ",4
